Date,Sales
2025-01-01,136.6985496606232
2025-01-02,111.35463556804689
2025-01-03,97.52299172215947
2025-01-04,94.83387421692942
2025-01-05,74.68110655346071
2025-01-06,98.54838520620186
2025-01-07,149.61566417917925
2025-01-08,143.6439736873637
2025-01-09,109.27109968120577
2025-01-10,98.83067968905395
2025-01-11,67.92177636323748
2025-01-12,74.09207625537228
2025-01-13,108.57448901854546
2025-01-14,100.1128836613168
2025-01-15,109.14330064698999
2025-01-16,110.76351791623084
2025-01-17,78.38442761486351
2025-01-18,82.47136712896892
2025-01-19,70.34227681072336
2025-01-20,86.64511480964096
2025-01-21,153.68143424962247
2025-01-22,134.51503901200283
2025-01-23,123.09536930977968
2025-01-24,75.0902870112934
2025-01-25,72.47653165677745
2025-01-26,88.51109217380488
2025-01-27,93.44938205295117
2025-01-28,140.21678837559958
2025-01-29,131.77671855513418
2025-01-30,120.59165537717705
2025-01-31,90.32052600566966
2025-02-01,111.31106067690462
2025-02-02,89.52941034170327
2025-02-03,97.7332371645626
2025-02-04,149.80410716657772
2025-02-05,125.35825953896631
2025-02-06,130.9846309337629
2025-02-07,72.83568871552937
2025-02-08,66.48871256040948
2025-02-09,95.56940263542452
2025-02-10,127.56051518344763
2025-02-11,142.92107308749485
2025-02-12,144.8208054373234
2025-02-13,126.21973695946764
2025-02-14,82.93752610282999
2025-02-15,78.4984555525807
2025-02-16,88.59151791760624
2025-02-17,135.2249652614156
2025-02-18,148.3894385977876
2025-02-19,122.9945427273214
2025-02-20,138.4821673188443
2025-02-21,102.22373713671203
2025-02-22,82.02690405852734
2025-02-23,107.56085919923146
2025-02-24,137.7177400901865
2025-02-25,160.08898142561904
2025-02-26,139.7364975940382
2025-02-27,131.8673375247695
2025-02-28,115.85353819862563
2025-03-01,109.69852635456749
2025-03-02,94.08271668355447
2025-03-03,122.35247798740536
2025-03-04,132.409370413401
2025-03-05,137.26627646578308
2025-03-06,151.57802588306606
2025-03-07,134.1128025407499
2025-03-08,96.86981300864248
2025-03-09,119.20793910422957
2025-03-10,133.44651839769253
2025-03-11,142.21221408902997
2025-03-12,163.51492529423476
2025-03-13,165.34530242875803
2025-03-14,116.11642691015366
2025-03-15,124.30423505417298
2025-03-16,67.74338445911843
2025-03-17,143.23513097222175
2025-03-18,156.07933181629477
2025-03-19,156.49349633923592
2025-03-20,146.5357809644164
2025-03-21,89.72489916240492
2025-03-22,100.42411728401558
2025-03-23,115.28086497775617
2025-03-24,155.95961946233155
2025-03-25,149.88418790323288
2025-03-26,151.7358179374415
2025-03-27,140.51762904723122
2025-03-28,136.1540800315648
2025-03-29,111.53507763108891
2025-03-30,104.86238873318977
2025-03-31,144.3748356725245
2025-04-01,161.9990198021736
2025-04-02,181.27751222344804
2025-04-03,140.39780367745436
2025-04-04,120.39273145168256
2025-04-05,103.60680407382668
2025-04-06,93.74068295232897
2025-04-07,144.0022437164082
2025-04-08,167.3433010292667
2025-04-09,169.709154599707
2025-04-10,150.29440846960284
2025-04-11,106.96171790450826
2025-04-12,106.06336191394404
2025-04-13,113.43730481102459
2025-04-14,130.41089590673067
2025-04-15,163.89280165619363
2025-04-16,178.57783098690356
2025-04-17,184.99061937300337
2025-04-18,133.69556161235744
2025-04-19,119.12091300088127
2025-04-20,120.34594920704902
2025-04-21,116.5481021001847
2025-04-22,168.7989945840609
2025-04-23,176.30513666841625
2025-04-24,196.5310779267401
2025-04-25,131.0760953327784
2025-04-26,122.66548265965939
2025-04-27,123.82657678257826
2025-04-28,130.68411514999275
2025-04-29,189.22366031813982
2025-04-30,189.56529439421786
2025-05-01,174.33254082972186
2025-05-02,123.20531336718955
2025-05-03,142.06880257331204
2025-05-04,106.20410277088808
2025-05-05,159.90175750590512
2025-05-06,207.8227678721796
2025-05-07,166.31286941157128
2025-05-08,156.85721106465002
2025-05-09,141.2255110500406
2025-05-10,116.35936848214298
2025-05-11,106.85653263139567
2025-05-12,155.0119611056069
2025-05-13,161.9159931637537
2025-05-14,191.15941613267475
2025-05-15,154.4449288797999
2025-05-16,165.8643720336045
2025-05-17,115.04731929345778
2025-05-18,128.17017673891795
2025-05-19,169.0708901286769
2025-05-20,162.27219950775134
2025-05-21,190.3520440768243
2025-05-22,190.72804909215876
2025-05-23,121.38772282453836
2025-05-24,132.45024194110127
2025-05-25,139.7839567803448
2025-05-26,171.4800903294069
2025-05-27,165.06551897570483
2025-05-28,170.0179112461136
2025-05-29,181.83464664679119
2025-05-30,152.83935682606995
2025-05-31,136.32274220292024
2025-06-01,143.96705339368845
2025-06-02,152.43699181368527
2025-06-03,189.9882004809065
2025-06-04,197.10546292647336
2025-06-05,166.1748672767576
2025-06-06,179.2558197793589
2025-06-07,142.55745864602432
2025-06-08,123.78539317780948
2025-06-09,175.37028215148547
2025-06-10,174.768785354697
2025-06-11,207.40026026774532
2025-06-12,197.15368761687955
2025-06-13,141.84358272152727
2025-06-14,152.7852221556277
2025-06-15,150.73127492451206
2025-06-16,180.73749580651076
2025-06-17,220.72552053253142
2025-06-18,194.79778485618087
2025-06-19,171.35332685102154
2025-06-20,143.69571643703546
2025-06-21,128.98204132709668
2025-06-22,146.2676507638684
2025-06-23,176.40848841345846
2025-06-24,199.30860316728788
2025-06-25,213.77097071637968
2025-06-26,185.73901307916788
2025-06-27,181.72605942339345
2025-06-28,140.1339584876243
2025-06-29,191.11132928853965
2025-06-30,183.56083439229926
2025-07-01,185.18549321570876
2025-07-02,188.184449894538
2025-07-03,195.66568631426242
2025-07-04,159.45572187076132
2025-07-05,157.69843378219042
2025-07-06,160.29197154291393
2025-07-07,175.96800587058647
2025-07-08,188.2255661755423
2025-07-09,184.40974437978213
2025-07-10,184.6154911892247
2025-07-11,178.53826095011655
2025-07-12,153.08444791737747
2025-07-13,137.3919408782463
2025-07-14,182.54276883282267
2025-07-15,209.59184802711627
2025-07-16,196.7592065916685
2025-07-17,196.50370744402832
2025-07-18,169.45002519656987
2025-07-19,135.61310267258042
2025-07-20,164.32944834876577
2025-07-21,191.24143822519383
2025-07-22,222.9424713634283
2025-07-23,228.70871429982438
2025-07-24,176.41740572010445
2025-07-25,157.39413420576838
2025-07-26,163.3678015327851
2025-07-27,169.55404259184002
2025-07-28,193.44000100887644
2025-07-29,267.3722904602353
2025-07-30,224.34965656431376
2025-07-31,217.00054622678516
2025-08-01,188.65615164150867
2025-08-02,168.29775667885752
2025-08-03,160.0028300431671
2025-08-04,199.98343940630008
2025-08-05,200.87355526696635
2025-08-06,215.11863518743147
2025-08-07,195.57122379125502
2025-08-08,178.45885266452083
2025-08-09,196.1313817939886
2025-08-10,139.60750620851144
2025-08-11,201.7774193391342
2025-08-12,191.15981080180052
2025-08-13,214.47655168630553
2025-08-14,222.07055134781743
2025-08-15,181.07955624477336
2025-08-16,148.12994700956173
2025-08-17,159.77154384310356
2025-08-18,204.562098102152
2025-08-19,207.27966477850364
2025-08-20,227.687023901492
2025-08-21,209.30448537647956
2025-08-22,173.22596612886952
2025-08-23,199.33989540299663
2025-08-24,182.8945002013886
2025-08-25,166.87560845288314
2025-08-26,223.91659436041746
2025-08-27,217.39796347085195
2025-08-28,224.29202318448108
2025-08-29,173.99677565108163
2025-08-30,168.34430282572862
2025-08-31,183.84513943594067
2025-09-01,213.12369054991444
2025-09-02,205.9999489176548
2025-09-03,225.19185728937893
2025-09-04,207.26595887973875
2025-09-05,178.96926362358187
2025-09-06,199.43177843656395
2025-09-07,185.22967130026353
